Chromosome,Start_Nucleotide,End_Nucleotide,Peak_ID
chr7,127768735,127769258,all_Chip_RFX1_vs_GRCm38.89_peak_8711
chr14,86748869,86749504,all_Chip_RFX1_vs_GRCm38.89_peak_3203
chr17,81542425,81543103,all_Chip_RFX1_vs_GRCm38.89_peak_4394
chr13,91460937,91461326,all_Chip_RFX1_vs_GRCm38.89_peak_2763
chr8,84066520,84067015,all_Chip_RFX1_vs_GRCm38.89_peak_9090
chr3,108562317,108562923,all_Chip_RFX1_vs_GRCm38.89_peak_6293
chr4,139130928,139131397,all_Chip_RFX1_vs_GRCm38.89_peak_6980
chr1,86434406,86434771,all_Chip_RFX1_vs_GRCm38.89_peak_281
chr7,29315010,29315588,all_Chip_RFX1_vs_GRCm38.89_peak_8344
chr16,94723793,94724373,all_Chip_RFX1_vs_GRCm38.89_peak_4057
chr6,51592092,51592645,all_Chip_RFX1_vs_GRCm38.89_peak_7851
chr4,118620588,118620990,all_Chip_RFX1_vs_GRCm38.89_peak_6823
chr4,63375367,63375784,all_Chip_RFX1_vs_GRCm38.89_peak_6637
chr6,91301764,91302235,all_Chip_RFX1_vs_GRCm38.89_peak_7995
chr1,164275336,164275843,all_Chip_RFX1_vs_GRCm38.89_peak_539
chr9,36821575,36822048,all_Chip_RFX1_vs_GRCm38.89_peak_9445
chr11,3894906,3895441,all_Chip_RFX1_vs_GRCm38.89_peak_1198
chr12,84011373,84011883,all_Chip_RFX1_vs_GRCm38.89_peak_2210
chr11,21036096,21036619,all_Chip_RFX1_vs_GRCm38.89_peak_1244
chr19,5488987,5489502,all_Chip_RFX1_vs_GRCm38.89_peak_4807
chr7,66689679,66690207,all_Chip_RFX1_vs_GRCm38.89_peak_8448
chr1,97553553,97554189,all_Chip_RFX1_vs_GRCm38.89_peak_333
chr13,107207811,107208353,all_Chip_RFX1_vs_GRCm38.89_peak_2840
chr7,44467921,44468742,all_Chip_RFX1_vs_GRCm38.89_peak_8379
chr8,116978657,116979327,all_Chip_RFX1_vs_GRCm38.89_peak_9245
chr8,70317064,70317597,all_Chip_RFX1_vs_GRCm38.89_peak_9037
chr10,80159600,80160139,all_Chip_RFX1_vs_GRCm38.89_peak_971
chr17,25802965,25803547,all_Chip_RFX1_vs_GRCm38.89_peak_4156
chr2,55003194,55003800,all_Chip_RFX1_vs_GRCm38.89_peak_5341
chr12,76765172,76765945,all_Chip_RFX1_vs_GRCm38.89_peak_2147
chr6,113392207,113392622,all_Chip_RFX1_vs_GRCm38.89_peak_8084
chr7,80216520,80216942,all_Chip_RFX1_vs_GRCm38.89_peak_8499
chr2,161339541,161340159,all_Chip_RFX1_vs_GRCm38.89_peak_5773
chr5,124598429,124598966,all_Chip_RFX1_vs_GRCm38.89_peak_7519
chr2,126151781,126152319,all_Chip_RFX1_vs_GRCm38.89_peak_5601
chr1,93114921,93115471,all_Chip_RFX1_vs_GRCm38.89_peak_324
chr19,10576817,10577348,all_Chip_RFX1_vs_GRCm38.89_peak_4850
chr7,4546434,4546943,all_Chip_RFX1_vs_GRCm38.89_peak_8251
chr4,141049323,141049837,all_Chip_RFX1_vs_GRCm38.89_peak_6990
chr5,139460441,139460927,all_Chip_RFX1_vs_GRCm38.89_peak_7610
chr1,166280552,166281650,all_Chip_RFX1_vs_GRCm38.89_peak_550
chr8,95434700,95435369,all_Chip_RFX1_vs_GRCm38.89_peak_9174
chr11,94160376,94160825,all_Chip_RFX1_vs_GRCm38.89_peak_1644
chr2,163205772,163206263,all_Chip_RFX1_vs_GRCm38.89_peak_5784
chr2,32629266,32629718,all_Chip_RFX1_vs_GRCm38.89_peak_5243
chr11,59165717,59166139,all_Chip_RFX1_vs_GRCm38.89_peak_1379
chr7,4532381,4532802,all_Chip_RFX1_vs_GRCm38.89_peak_8250
chr2,91444412,91444951,all_Chip_RFX1_vs_GRCm38.89_peak_5455
chr4,43031362,43032052,all_Chip_RFX1_vs_GRCm38.89_peak_6565
chr12,80344578,80345073,all_Chip_RFX1_vs_GRCm38.89_peak_2179
chr3,89227257,89227693,all_Chip_RFX1_vs_GRCm38.89_peak_6159
chr5,139797700,139798175,all_Chip_RFX1_vs_GRCm38.89_peak_7611
chr10,125997091,125997557,all_Chip_RFX1_vs_GRCm38.89_peak_1169
chr11,87852951,87853427,all_Chip_RFX1_vs_GRCm38.89_peak_1609
chr17,31277144,31277638,all_Chip_RFX1_vs_GRCm38.89_peak_4206
chr2,130827391,130827922,all_Chip_RFX1_vs_GRCm38.89_peak_5635
chr7,24546804,24547270,all_Chip_RFX1_vs_GRCm38.89_peak_8311
chr19,5094242,5094732,all_Chip_RFX1_vs_GRCm38.89_peak_4804
chr14,20640786,20641182,all_Chip_RFX1_vs_GRCm38.89_peak_2923
chr4,121215025,121215474,all_Chip_RFX1_vs_GRCm38.89_peak_6844
chr10,41490159,41490692,all_Chip_RFX1_vs_GRCm38.89_peak_810
chr14,124669655,124670098,all_Chip_RFX1_vs_GRCm38.89_peak_3285
chr6,34780114,34780603,all_Chip_RFX1_vs_GRCm38.89_peak_7774
chr9,13918687,13919248,all_Chip_RFX1_vs_GRCm38.89_peak_9350
chr1,171360621,171361154,all_Chip_RFX1_vs_GRCm38.89_peak_580
chr12,110889054,110889437,all_Chip_RFX1_vs_GRCm38.89_peak_2363
chr9,60687683,60688414,all_Chip_RFX1_vs_GRCm38.89_peak_9597
chr19,4906406,4906837,all_Chip_RFX1_vs_GRCm38.89_peak_4799
chr14,54253880,54254425,all_Chip_RFX1_vs_GRCm38.89_peak_3035
chr10,62578343,62578811,all_Chip_RFX1_vs_GRCm38.89_peak_899
chr1,152903169,152903669,all_Chip_RFX1_vs_GRCm38.89_peak_483
chr8,22776980,22777550,all_Chip_RFX1_vs_GRCm38.89_peak_8882
chr2,129908669,129909533,all_Chip_RFX1_vs_GRCm38.89_peak_5628
chr2,80315179,80315616,all_Chip_RFX1_vs_GRCm38.89_peak_5434
chr11,117963295,117963747,all_Chip_RFX1_vs_GRCm38.89_peak_1844
chr2,121289403,121289857,all_Chip_RFX1_vs_GRCm38.89_peak_5579
chr16,20695955,20696410,all_Chip_RFX1_vs_GRCm38.89_peak_3814
chr16,90934731,90935290,all_Chip_RFX1_vs_GRCm38.89_peak_4032
chr9,92330799,92331268,all_Chip_RFX1_vs_GRCm38.89_peak_9735
chr11,68215045,68215571,all_Chip_RFX1_vs_GRCm38.89_peak_1453
chr18,89564175,89564810,all_Chip_RFX1_vs_GRCm38.89_peak_4779
chr9,27155300,27155768,all_Chip_RFX1_vs_GRCm38.89_peak_9405
chr3,75164832,75165332,all_Chip_RFX1_vs_GRCm38.89_peak_6100
chr15,25752572,25753054,all_Chip_RFX1_vs_GRCm38.89_peak_3334
chr13,58547463,58547959,all_Chip_RFX1_vs_GRCm38.89_peak_2655
chr9,103595065,103595638,all_Chip_RFX1_vs_GRCm38.89_peak_9788
chr19,60226568,60226968,all_Chip_RFX1_vs_GRCm38.89_peak_5065
chr6,33060088,33060562,all_Chip_RFX1_vs_GRCm38.89_peak_7769
chr1,136017652,136018165,all_Chip_RFX1_vs_GRCm38.89_peak_432
chr10,85917000,85917450,all_Chip_RFX1_vs_GRCm38.89_peak_1024
chr12,84148353,84148785,all_Chip_RFX1_vs_GRCm38.89_peak_2213
chr9,110476730,110477173,all_Chip_RFX1_vs_GRCm38.89_peak_9849
chr9,7176795,7177347,all_Chip_RFX1_vs_GRCm38.89_peak_9331
chr9,13681639,13682221,all_Chip_RFX1_vs_GRCm38.89_peak_9349
chr2,3418833,3419339,all_Chip_RFX1_vs_GRCm38.89_peak_5075
chr4,155669237,155669836,all_Chip_RFX1_vs_GRCm38.89_peak_7081
chr8,45975028,45975510,all_Chip_RFX1_vs_GRCm38.89_peak_8959
chr7,19075778,19076276,all_Chip_RFX1_vs_GRCm38.89_peak_8293
chr3,84305318,84305814,all_Chip_RFX1_vs_GRCm38.89_peak_6128
chr15,75841809,75842235,all_Chip_RFX1_vs_GRCm38.89_peak_3536
chr18,42723808,42724365,all_Chip_RFX1_vs_GRCm38.89_peak_4608
chr11,70028988,70029938,all_Chip_RFX1_vs_GRCm38.89_peak_1479
chr2,152406054,152406575,all_Chip_RFX1_vs_GRCm38.89_peak_5716
chr7,6283726,6284182,all_Chip_RFX1_vs_GRCm38.89_peak_8258
chr12,110840725,110841264,all_Chip_RFX1_vs_GRCm38.89_peak_2361
chr2,92389394,92389854,all_Chip_RFX1_vs_GRCm38.89_peak_5468
chr9,100685637,100686216,all_Chip_RFX1_vs_GRCm38.89_peak_9774
chr14,60485396,60485983,all_Chip_RFX1_vs_GRCm38.89_peak_3073
chr2,164822605,164823083,all_Chip_RFX1_vs_GRCm38.89_peak_5797
chr5,123251891,123252349,all_Chip_RFX1_vs_GRCm38.89_peak_7504
chr12,100808787,100809287,all_Chip_RFX1_vs_GRCm38.89_peak_2310
chr11,101424782,101425239,all_Chip_RFX1_vs_GRCm38.89_peak_1713
chr5,140608648,140609084,all_Chip_RFX1_vs_GRCm38.89_peak_7618
chr10,100865379,100865982,all_Chip_RFX1_vs_GRCm38.89_peak_1103
chr15,79511517,79511915,all_Chip_RFX1_vs_GRCm38.89_peak_3570
chr3,63898466,63898947,all_Chip_RFX1_vs_GRCm38.89_peak_6073
chr10,77258961,77259418,all_Chip_RFX1_vs_GRCm38.89_peak_954
chr16,38341594,38342091,all_Chip_RFX1_vs_GRCm38.89_peak_3891
chr10,80371387,80371809,all_Chip_RFX1_vs_GRCm38.89_peak_974
chr7,126809036,126809469,all_Chip_RFX1_vs_GRCm38.89_peak_8699
chr6,149141173,149141653,all_Chip_RFX1_vs_GRCm38.89_peak_8238
chr11,116335227,116335605,all_Chip_RFX1_vs_GRCm38.89_peak_1831
chr17,25471352,25471770,all_Chip_RFX1_vs_GRCm38.89_peak_4151
chr2,34993105,34993618,all_Chip_RFX1_vs_GRCm38.89_peak_5269
chr16,26965385,26965929,all_Chip_RFX1_vs_GRCm38.89_peak_3840
chr1,191821082,191821584,all_Chip_RFX1_vs_GRCm38.89_peak_669
chr1,189688083,189688522,all_Chip_RFX1_vs_GRCm38.89_peak_658
chr17,10109700,10110296,all_Chip_RFX1_vs_GRCm38.89_peak_4112
chr13,100103956,100104316,all_Chip_RFX1_vs_GRCm38.89_peak_2807
chr19,27988539,27989262,all_Chip_RFX1_vs_GRCm38.89_peak_4911
chr4,123904559,123905093,all_Chip_RFX1_vs_GRCm38.89_peak_6860
chr6,30509640,30510115,all_Chip_RFX1_vs_GRCm38.89_peak_7753
chr4,57436152,57436698,all_Chip_RFX1_vs_GRCm38.89_peak_6617
chr5,136907897,136908385,all_Chip_RFX1_vs_GRCm38.89_peak_7583
chr10,103236141,103236592,all_Chip_RFX1_vs_GRCm38.89_peak_1107
chr19,28010913,28011254,all_Chip_RFX1_vs_GRCm38.89_peak_4912
chr8,84197569,84198927,all_Chip_RFX1_vs_GRCm38.89_peak_9093
chr4,141790596,141791208,all_Chip_RFX1_vs_GRCm38.89_peak_6995
chr12,74283970,74284386,all_Chip_RFX1_vs_GRCm38.89_peak_2133
chr8,70601271,70601743,all_Chip_RFX1_vs_GRCm38.89_peak_9041
chr8,70865398,70866135,all_Chip_RFX1_vs_GRCm38.89_peak_9048
chr2,94043530,94044162,all_Chip_RFX1_vs_GRCm38.89_peak_5479
chr7,12992070,12992594,all_Chip_RFX1_vs_GRCm38.89_peak_8268
chr17,25861352,25861756,all_Chip_RFX1_vs_GRCm38.89_peak_4159
chr7,126922760,126923187,all_Chip_RFX1_vs_GRCm38.89_peak_8703
chr2,10736703,10737254,all_Chip_RFX1_vs_GRCm38.89_peak_5109
chr17,84626226,84626659,all_Chip_RFX1_vs_GRCm38.89_peak_4412
chr4,108847562,108847976,all_Chip_RFX1_vs_GRCm38.89_peak_6788
chr2,71290075,71290475,all_Chip_RFX1_vs_GRCm38.89_peak_5394
chr2,181675359,181675787,all_Chip_RFX1_vs_GRCm38.89_peak_5883
chr9,123717442,123718045,all_Chip_RFX1_vs_GRCm38.89_peak_9910
chr15,75748293,75748634,all_Chip_RFX1_vs_GRCm38.89_peak_3535
chr18,75018424,75018887,all_Chip_RFX1_vs_GRCm38.89_peak_4733
chr1,98190157,98190665,all_Chip_RFX1_vs_GRCm38.89_peak_336
chr10,33904784,33905233,all_Chip_RFX1_vs_GRCm38.89_peak_772
chr1,139179658,139180052,all_Chip_RFX1_vs_GRCm38.89_peak_452
chr12,111164396,111164866,all_Chip_RFX1_vs_GRCm38.89_peak_2367
chr4,141213710,141214155,all_Chip_RFX1_vs_GRCm38.89_peak_6992
chr12,71048073,71048577,all_Chip_RFX1_vs_GRCm38.89_peak_2107
chr6,119174896,119175332,all_Chip_RFX1_vs_GRCm38.89_peak_8126
chr3,116507928,116508346,all_Chip_RFX1_vs_GRCm38.89_peak_6314
chr16,36874810,36875286,all_Chip_RFX1_vs_GRCm38.89_peak_3886
chr3,106001253,106001784,all_Chip_RFX1_vs_GRCm38.89_peak_6267
chr8,105496904,105497292,all_Chip_RFX1_vs_GRCm38.89_peak_9201
chr2,165034750,165035361,all_Chip_RFX1_vs_GRCm38.89_peak_5799
chr10,75764154,75764527,all_Chip_RFX1_vs_GRCm38.89_peak_944
chr16,32419482,32420037,all_Chip_RFX1_vs_GRCm38.89_peak_3868
chr6,134888545,134888960,all_Chip_RFX1_vs_GRCm38.89_peak_8183
chr2,21918313,21918834,all_Chip_RFX1_vs_GRCm38.89_peak_5158
chr1,164307308,164307962,all_Chip_RFX1_vs_GRCm38.89_peak_540
chr4,123016253,123016781,all_Chip_RFX1_vs_GRCm38.89_peak_6847
chr4,148384175,148385161,all_Chip_RFX1_vs_GRCm38.89_peak_7022
chr19,53852630,53853162,all_Chip_RFX1_vs_GRCm38.89_peak_5032
chr12,17011277,17011825,all_Chip_RFX1_vs_GRCm38.89_peak_1932
chr16,59638979,59639401,all_Chip_RFX1_vs_GRCm38.89_peak_3963
chr10,93081488,93082015,all_Chip_RFX1_vs_GRCm38.89_peak_1061
chr3,82357735,82358305,all_Chip_RFX1_vs_GRCm38.89_peak_6121
chr5,114099951,114100366,all_Chip_RFX1_vs_GRCm38.89_peak_7452
chr12,85455060,85455683,all_Chip_RFX1_vs_GRCm38.89_peak_2227
chr16,13193562,13194057,all_Chip_RFX1_vs_GRCm38.89_peak_3772
chr7,45814390,45814934,all_Chip_RFX1_vs_GRCm38.89_peak_8392
chr19,4283068,4283465,all_Chip_RFX1_vs_GRCm38.89_peak_4794
chr14,103898777,103899537,all_Chip_RFX1_vs_GRCm38.89_peak_3233
chr8,70792356,70793242,all_Chip_RFX1_vs_GRCm38.89_peak_9047
chr17,56074917,56075369,all_Chip_RFX1_vs_GRCm38.89_peak_4307
chr2,3668518,3669070,all_Chip_RFX1_vs_GRCm38.89_peak_5078
chr5,139150013,139150420,all_Chip_RFX1_vs_GRCm38.89_peak_7602
chr7,28598045,28598503,all_Chip_RFX1_vs_GRCm38.89_peak_8338
chr10,39133637,39134093,all_Chip_RFX1_vs_GRCm38.89_peak_793
chr1,91049298,91049673,all_Chip_RFX1_vs_GRCm38.89_peak_310
chr19,7206158,7206606,all_Chip_RFX1_vs_GRCm38.89_peak_4832
chr16,4964239,4964766,all_Chip_RFX1_vs_GRCm38.89_peak_3751
chr16,22583321,22583730,all_Chip_RFX1_vs_GRCm38.89_peak_3818
chr5,134435946,134436326,all_Chip_RFX1_vs_GRCm38.89_peak_7562
chr5,122264191,122264586,all_Chip_RFX1_vs_GRCm38.89_peak_7493
chr9,22002406,22002922,all_Chip_RFX1_vs_GRCm38.89_peak_9377
chr1,137378399,137378948,all_Chip_RFX1_vs_GRCm38.89_peak_444
chr15,9748623,9749022,all_Chip_RFX1_vs_GRCm38.89_peak_3306
chr19,4257427,4257887,all_Chip_RFX1_vs_GRCm38.89_peak_4793
chr10,75837225,75837741,all_Chip_RFX1_vs_GRCm38.89_peak_945
chr15,73067543,73068041,all_Chip_RFX1_vs_GRCm38.89_peak_3515
chr18,77046847,77047290,all_Chip_RFX1_vs_GRCm38.89_peak_4741
chr10,99262921,99263387,all_Chip_RFX1_vs_GRCm38.89_peak_1098
chr12,79911302,79911870,all_Chip_RFX1_vs_GRCm38.89_peak_2169
chr11,120932675,120933104,all_Chip_RFX1_vs_GRCm38.89_peak_1879
chr14,78536890,78537314,all_Chip_RFX1_vs_GRCm38.89_peak_3190
chr7,28179707,28180072,all_Chip_RFX1_vs_GRCm38.89_peak_8333
chr17,6006116,6006545,all_Chip_RFX1_vs_GRCm38.89_peak_4089
chr1,59524078,59524490,all_Chip_RFX1_vs_GRCm38.89_peak_157
chr17,46552667,46553201,all_Chip_RFX1_vs_GRCm38.89_peak_4276
chr2,29890227,29890802,all_Chip_RFX1_vs_GRCm38.89_peak_5215
chr15,76142219,76142802,all_Chip_RFX1_vs_GRCm38.89_peak_3541
chr4,62470573,62471166,all_Chip_RFX1_vs_GRCm38.89_peak_6631
chr11,62731821,62732275,all_Chip_RFX1_vs_GRCm38.89_peak_1412
chr7,30765187,30765548,all_Chip_RFX1_vs_GRCm38.89_peak_8351
chr7,19319909,19320449,all_Chip_RFX1_vs_GRCm38.89_peak_8300
chr17,57011356,57011790,all_Chip_RFX1_vs_GRCm38.89_peak_4322
chr11,70021688,70022149,all_Chip_RFX1_vs_GRCm38.89_peak_1478
chr13,54418781,54419248,all_Chip_RFX1_vs_GRCm38.89_peak_2626
chr10,79803609,79804042,all_Chip_RFX1_vs_GRCm38.89_peak_966
chr5,36484385,36484785,all_Chip_RFX1_vs_GRCm38.89_peak_7202
chr19,4096546,4097062,all_Chip_RFX1_vs_GRCm38.89_peak_4787
chr8,70777049,70777543,all_Chip_RFX1_vs_GRCm38.89_peak_9046
chr13,51418587,51419000,all_Chip_RFX1_vs_GRCm38.89_peak_2612
chr8,68033968,68034374,all_Chip_RFX1_vs_GRCm38.89_peak_9022
chr15,102013604,102014052,all_Chip_RFX1_vs_GRCm38.89_peak_3730
chr12,108333883,108334257,all_Chip_RFX1_vs_GRCm38.89_peak_2347
chr9,44071858,44072380,all_Chip_RFX1_vs_GRCm38.89_peak_9484
chr2,91065592,91065989,all_Chip_RFX1_vs_GRCm38.89_peak_5451
chr15,31453484,31453938,all_Chip_RFX1_vs_GRCm38.89_peak_3357
chr2,118155835,118156370,all_Chip_RFX1_vs_GRCm38.89_peak_5558
chr2,75891954,75892562,all_Chip_RFX1_vs_GRCm38.89_peak_5416
chr16,18400678,18401165,all_Chip_RFX1_vs_GRCm38.89_peak_3805
chr8,70698566,70698966,all_Chip_RFX1_vs_GRCm38.89_peak_9045
chr18,63708361,63708768,all_Chip_RFX1_vs_GRCm38.89_peak_4684
chr7,87241833,87242517,all_Chip_RFX1_vs_GRCm38.89_peak_8528
chr8,68514867,68515343,all_Chip_RFX1_vs_GRCm38.89_peak_9027
chr16,44394520,44394961,all_Chip_RFX1_vs_GRCm38.89_peak_3925
chr9,22411290,22411732,all_Chip_RFX1_vs_GRCm38.89_peak_9384
chr16,32099635,32100064,all_Chip_RFX1_vs_GRCm38.89_peak_3867
chr5,103211127,103211498,all_Chip_RFX1_vs_GRCm38.89_peak_7390
chr18,38190494,38190929,all_Chip_RFX1_vs_GRCm38.89_peak_4595
chr1,89235331,89235810,all_Chip_RFX1_vs_GRCm38.89_peak_298
chr4,40593827,40594290,all_Chip_RFX1_vs_GRCm38.89_peak_6551
chr2,69647025,69647413,all_Chip_RFX1_vs_GRCm38.89_peak_5381
chr13,71373721,71374381,all_Chip_RFX1_vs_GRCm38.89_peak_2705
chr10,127063040,127063492,all_Chip_RFX1_vs_GRCm38.89_peak_1175
chr3,30647611,30648067,all_Chip_RFX1_vs_GRCm38.89_peak_5953
chr11,5878177,5878619,all_Chip_RFX1_vs_GRCm38.89_peak_1207
chr13,92483720,92484142,all_Chip_RFX1_vs_GRCm38.89_peak_2766
chr2,181462945,181463378,all_Chip_RFX1_vs_GRCm38.89_peak_5882
chr16,91728491,91728957,all_Chip_RFX1_vs_GRCm38.89_peak_4042
chr16,55556137,55556562,all_Chip_RFX1_vs_GRCm38.89_peak_3953
chrX,7919410,7919832,all_Chip_RFX1_vs_GRCm38.89_peak_9922
chr7,140080741,140081197,all_Chip_RFX1_vs_GRCm38.89_peak_8776
chr8,22807975,22808403,all_Chip_RFX1_vs_GRCm38.89_peak_8884
chr15,66500704,66501144,all_Chip_RFX1_vs_GRCm38.89_peak_3493
chr5,115300934,115301339,all_Chip_RFX1_vs_GRCm38.89_peak_7462
chr10,39899152,39899585,all_Chip_RFX1_vs_GRCm38.89_peak_799
chr11,77965712,77966183,all_Chip_RFX1_vs_GRCm38.89_peak_1537
chr14,54517256,54517710,all_Chip_RFX1_vs_GRCm38.89_peak_3038
chr17,20944961,20945415,all_Chip_RFX1_vs_GRCm38.89_peak_4133
chr4,155408809,155409543,all_Chip_RFX1_vs_GRCm38.89_peak_7077
chr16,94569386,94569863,all_Chip_RFX1_vs_GRCm38.89_peak_4055
chr5,29633286,29633835,all_Chip_RFX1_vs_GRCm38.89_peak_7159
chr17,46253714,46254065,all_Chip_RFX1_vs_GRCm38.89_peak_4275
chr11,61504955,61505392,all_Chip_RFX1_vs_GRCm38.89_peak_1406
chr5,21424388,21424939,all_Chip_RFX1_vs_GRCm38.89_peak_7121
chr9,121839277,121839734,all_Chip_RFX1_vs_GRCm38.89_peak_9897
chr7,118705667,118706148,all_Chip_RFX1_vs_GRCm38.89_peak_8657
chr2,11429762,11430148,all_Chip_RFX1_vs_GRCm38.89_peak_5110
chr17,47644011,47644555,all_Chip_RFX1_vs_GRCm38.89_peak_4283
chr16,43889539,43889960,all_Chip_RFX1_vs_GRCm38.89_peak_3918
chr16,33055922,33056478,all_Chip_RFX1_vs_GRCm38.89_peak_3877
chr19,38015537,38015970,all_Chip_RFX1_vs_GRCm38.89_peak_4949
chr12,85219042,85219550,all_Chip_RFX1_vs_GRCm38.89_peak_2221
chr2,166670972,166671422,all_Chip_RFX1_vs_GRCm38.89_peak_5817
chr2,30178313,30178829,all_Chip_RFX1_vs_GRCm38.89_peak_5220
chr6,85302301,85302674,all_Chip_RFX1_vs_GRCm38.89_peak_7949
chr7,5060815,5061343,all_Chip_RFX1_vs_GRCm38.89_peak_8255
chr10,75036794,75037433,all_Chip_RFX1_vs_GRCm38.89_peak_938
chr9,103692639,103693304,all_Chip_RFX1_vs_GRCm38.89_peak_9791
chr6,40393189,40393706,all_Chip_RFX1_vs_GRCm38.89_peak_7812
chr12,82169052,82169430,all_Chip_RFX1_vs_GRCm38.89_peak_2194
chr14,105198512,105198864,all_Chip_RFX1_vs_GRCm38.89_peak_3237
chr17,85090324,85090742,all_Chip_RFX1_vs_GRCm38.89_peak_4415
chr3,146426456,146426822,all_Chip_RFX1_vs_GRCm38.89_peak_6424
chr10,86705666,86706070,all_Chip_RFX1_vs_GRCm38.89_peak_1028
chr1,90153273,90153736,all_Chip_RFX1_vs_GRCm38.89_peak_305
chr18,43129102,43129593,all_Chip_RFX1_vs_GRCm38.89_peak_4614
chr9,72985116,72985609,all_Chip_RFX1_vs_GRCm38.89_peak_9676
chr10,10472120,10472729,all_Chip_RFX1_vs_GRCm38.89_peak_708
chr17,87050522,87050897,all_Chip_RFX1_vs_GRCm38.89_peak_4424
chr2,125859020,125859442,all_Chip_RFX1_vs_GRCm38.89_peak_5598
chr10,13008121,13008577,all_Chip_RFX1_vs_GRCm38.89_peak_713
chr1,180850697,180851221,all_Chip_RFX1_vs_GRCm38.89_peak_628
chr10,79766954,79767865,all_Chip_RFX1_vs_GRCm38.89_peak_965
chr3,88510048,88510475,all_Chip_RFX1_vs_GRCm38.89_peak_6153
chr9,74952588,74952981,all_Chip_RFX1_vs_GRCm38.89_peak_9680
chr19,38729189,38729879,all_Chip_RFX1_vs_GRCm38.89_peak_4957
chr6,88084190,88084588,all_Chip_RFX1_vs_GRCm38.89_peak_7968
chr16,14025446,14026095,all_Chip_RFX1_vs_GRCm38.89_peak_3779
chr1,74361881,74362309,all_Chip_RFX1_vs_GRCm38.89_peak_222
chr5,125675542,125675992,all_Chip_RFX1_vs_GRCm38.89_peak_7537
chr1,139454390,139454973,all_Chip_RFX1_vs_GRCm38.89_peak_454
chr2,83941052,83941481,all_Chip_RFX1_vs_GRCm38.89_peak_5440
chr9,42472158,42472591,all_Chip_RFX1_vs_GRCm38.89_peak_9478
chr3,33844071,33844549,all_Chip_RFX1_vs_GRCm38.89_peak_5964
chr4,126096434,126096898,all_Chip_RFX1_vs_GRCm38.89_peak_6869
chr13,48227686,48228023,all_Chip_RFX1_vs_GRCm38.89_peak_2596
chr14,14803767,14804212,all_Chip_RFX1_vs_GRCm38.89_peak_2903
chr11,97041139,97041617,all_Chip_RFX1_vs_GRCm38.89_peak_1669
chr3,84814394,84814735,all_Chip_RFX1_vs_GRCm38.89_peak_6132
chr1,37865090,37865467,all_Chip_RFX1_vs_GRCm38.89_peak_89
chr3,129831217,129831735,all_Chip_RFX1_vs_GRCm38.89_peak_6363
chr12,55821009,55821490,all_Chip_RFX1_vs_GRCm38.89_peak_2068
chr7,141130992,141131374,all_Chip_RFX1_vs_GRCm38.89_peak_8785
chr15,50736899,50737430,all_Chip_RFX1_vs_GRCm38.89_peak_3427
chr14,32085380,32085880,all_Chip_RFX1_vs_GRCm38.89_peak_2983
